Model,Top-1,Top-3,Precision,Recall,F1
RandomForest,0.16755793226381463,0.47593582887700536,0.15672308726555598,0.16755793226381463,0.09839507101963797
HistGradientBoosting,0.13903743315508021,0.42780748663101603,0.027444510901868717,0.13903743315508021,0.04200129638632313
